County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Carbon,11/02/2020,0,0.1,32,64182,0,0.22,49.86,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Beaver,08/15/2020,0,0.1,95,163929,0,0.09,57.95,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Franklin,04/12/2020,0,0,0,155027,0,0,0,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Fulton,04/17/2020,0,0,0,14530,0,0,0,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Beaver,10/10/2020,2,0.3,139,163929,1.22,0.17,84.79,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Potter,07/19/2020,0,0,0,16526,0,0,0,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Juniata,05/10/2020,0,0,2,24763,0,0,8.08,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Clearfield,10/27/2020,0,0,7,79255,0,0,8.83,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Butler,06/13/2020,0,0,12,187853,0,0,6.39,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Franklin,06/10/2020,0,0.3,43,155027,0,0.18,27.74,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Schuylkill,05/03/2020,1,0.7,13,141359,0.71,0.51,9.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Washington,10/11/2020,0,0.3,32,206865,0,0.14,15.47,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Beaver,05/30/2020,0,0,76,163929,0,0,46.36,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Monroe,04/07/2020,5,1.7,21,170271,2.94,1.01,12.33,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
